User-ID,ISBN,Book-Rating
10,84770244560,6
19,3757597780,7
42,5535827470,7
44,4402235710,8
51,4402257010,9
56,6716232490,7
56,6798656910,9
64,20704232040,7
67,3947437410,7
70,14140350040,10
75,15585310250,5
78,3948958940,8
85,3407679360,5
92,84450714080,7
92,84450717690,8
92,84450717770,10
99,6716210090,10
99,4511668920,3
99,4466774500,10
99,5533475940,9
99,3167486410,7
99,3122615940,8
99,3852359410,6
99,3122526170,8
109,6715215190,5
114,6710273600,10
114,5535843830,9
114,4512080800,8
114,8125759540,5
114,4466125450,9
114,4466086530,9
114,3129534530,7
114,4466126180,8
125,6794292200,10
129,3167357360,7
133,3453727000,10
160,97285792250,8
160,97271149620,7
160,97271108430,8
160,85730247710,8
160,85730228760,6
160,97223227020,7
165,4466125450,5
165,609768450,9
165,610993250,4
176,19008503030,4
178,4514103190,6
182,90446016950,3
183,97284400570,7
183,97284400300,9
183,97284400060,8
183,97283130390,8
183,97283057290,8
183,97271105410,8
183,97271001120,9
183,97269934740,8
183,97269913660,8
183,97266535250,9
183,97265938550,9
183,97261010340,7
183,97260814240,9
183,97260813780,9
183,97260813270,8
183,97260806300,10
183,972451460890,9
183,97245095240,8
183,97245085520,8
183,97284401380,9
183,97284401700,9
183,97284402000,9
183,97284403240,9
183,97484405370,8
183,97298524050,8
183,97298177150,6
183,9729758310,7
183,97297204950,9
183,97285152270,9
183,97284876140,8
183,97284876060,6
183,97284875760,6
183,97245020230,9
183,97284873550,7
183,97284872660,6
183,97284871500,8
183,97284870020,10
183,97284408040,9
183,97284406930,7
183,97284406420,9
183,97284404560,7
183,97284404050,9
183,97284403830,8
183,97284873040,6
183,97241310090,7
183,97284871420,10
183,97241287250,8
183,71837930,8
183,4061420980,8
183,40052900,7
183,36388900,8
183,30623890,7
183,23950880,6
183,20705678420,8
183,203671030,8
183,19973880,6
183,18678870,7
183,16785870,7
183,16560870,10
183,15019870,7
183,1402748710,8
183,13513944030,8
183,13440860,7
183,127420980,8
183,100940860,9
183,97241294110,9
183,75666950,8
183,77556940,7
183,18128870,7
183,84014228250,9
183,97237065040,8
183,9723704030,8
183,97229026280,7
183,97223309500,9
183,97223199140,8
183,97221137470,9
183,97221055070,8
183,97220202420,9
183,80651940,7
183,97210351300,8
183,97220138310,6
183,97210288000,7
183,97241143840,7
183,97145110810,9
183,85854434640,9
183,85853626930,9
183,84978906630,10
183,84764094190,8
183,8472239730,9
183,84406307940,7
183,97210335610,7
185,3807785560,10
190,27402300,7
202,1402528000,6
212,608012630,8
215,610301470,6
221,188053936590,10
228,3853376390,7
228,395755140,9
232,71238170,7
232,4862847350,8
232,6710217450,4
232,6710476120,6
232,6715042820,6
242,34231141850,9
242,34510403950,6
242,3934638490,5
242,34920456420,8
242,34980208620,8
242,34991106950,7
242,34991515020,9
242,35703000990,6
242,35183703240,10
242,35482542680,10
242,3423113600,10
242,35962212690,10
242,35962926460,7
242,39288123430,7
242,3499172810,5
242,32572330510,9
242,34532121500,7
242,32572141540,9
242,32572164160,7
242,5532782230,10
242,31500003350,10
242,32572020830,10
242,32572036590,9
242,32572075220,10
242,32572086260,8
242,32572031360,8
242,32572086400,9
242,32572086500,10
242,32572086690,9
242,32572104500,10
242,32572120540,10
242,32572124290,10
242,32572086340,10
247,4352726830,7
249,3491091170,8
254,4511673170,8
254,4515249340,9
254,4514092560,7
254,4514061760,6
254,4463419320,5
254,3991464310,9
254,4391363690,9
254,4391363500,9
254,4390648720,9
254,4390648640,9
254,4515263410,8
254,4391395970,9
254,5532636330,8
254,6814152070,7
254,5903534030,9
254,6180022190,9
254,6180022270,8
254,6710210010,7
254,6797815870,8
254,6798792420,8
254,380978270,8
254,15565207430,9
254,1563892260,9
254,15638957300,9
254,15673108770,8
254,1569716200,9
254,19310817270,9
254,5532803250,8
254,3809772810,8
254,3807890350,10
254,3809736500,9
254,605023200,7
254,609347000,9
254,609769770,7
254,644710470,7
254,662385010,5
254,1420017400,9
254,3128639340,9
254,3730336050,5
254,3731626690,5
254,3809738390,9
254,3732261440,5
254,3732439440,5
254,3732439790,4
254,3732260630,6
254,3738104310,7
254,3809736340,10
254,3808178450,8
254,3737098890,5
254,3807304480,8
254,3758234680,9
254,3808104920,7
254,3757564690,9
254,3738360230,7
254,3738344890,9
254,3738344460,8
254,3738106010,6
254,375823450,9
272,609774770,7
272,5200111710,7
272,6708560450,7
272,8722007600,8
278,5904311100,6
289,644701130,7
289,5535714860,6
302,3129886990,4
310,84830070100,7
316,6714402760,9
323,15758433660,5
332,3807301380,6
334,140620320,7
334,15732287370,8
337,96815005550,9
339,4522839140,8
345,671534840,6
361,84339145450,8
361,84845091410,4
362,4466061970,7
362,5750647060,4
362,6716432900,8
362,7737561830,7
367,4490056150,9
372,35962146290,8
376,627705000,7
376,6718475460,5
387,1983202640,2
387,3731969890,6
387,4515277470,10
387,8125042080,9
387,15900712120,9
388,18784243190,7
